Reserv.no., Itm,RcT,MvT,Material,Material description,ReqmtsDate,Reqmts qty,BUn,Qty. withdr.,BUn,Difference,BUn,PGr,Bin,User name,Base date,Plnt,SLoc,Plant,Rec.,Del,FIs,G/L acct,Cost ctr,Vendor
1215823763,1,,9L7,VGQ0050,FRONT LEG L 001925,10.09.2025,40,PC,0,PC,40,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823764,1,,9L7,VGQ0060,FRONT LEG L 001926,10.09.2025,50,PC,0,PC,50,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823765,1,,9L7,VGQ0090,FRONT LEG R 001925,10.09.2025,40,PC,0,PC,40,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823766,1,,9L7,VEX483A,TOP BOARD WOODENASSY 001360,10.09.2025,100,PC,0,PC,100,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823767,1,,9L7,VGQ0100,FRONT LEG R 001926,10.09.2025,40,PC,0,PC,40,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823769,1,,9L7,VEX484A,TOP BOARD WOODENASSY 001361,10.09.2025,70,PC,0,PC,70,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823770,1,,9L7,VGQ0150,FRONT LEG STAY L 001925,10.09.2025,40,PC,0,PC,40,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823771,1,,9L7,VGQ0160,FRONT LEG STAY L 001926,10.09.2025,50,PC,0,PC,50,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823772,1,,9L7,VEX485A,TOP BOARD WOODENASSY 001362,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823773,1,,9L7,VGQ0190,FRONT LEG STAY R 001925,10.09.2025,40,PC,0,PC,40,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823775,1,,9L7,VGQ0200,FRONT LEG STAY R 001926,10.09.2025,50,PC,0,PC,50,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823777,1,,9L7,VGQ0270,PEDAL BOX SUB ASSY 001925,10.09.2025,40,PC,0,PC,40,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823778,1,,9L7,VEX4880,TOP BOARD ASSY 001365,10.09.2025,70,PC,0,PC,70,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823779,1,,9L7,VGQ0280,PEDAL BOX SUB ASSY 001926,10.09.2025,50,PC,0,PC,50,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823784,1,,9L7,VGQ2510,ARM ASSY L 001927,10.09.2025,50,PC,0,PC,50,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823788,1,,9L7,VGQ2550,ARM ASSY R 001927,10.09.2025,50,PC,0,PC,50,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823793,1,,9L7,VCW3870,KEYBED SUB ASSY 000139,10.09.2025,110,PC,0,PC,110,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823794,1,,9L7,VFC448A,BACK TOP RAIL WOODEN ASSY 000963,10.09.2025,140,PC,0,PC,140,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
